,source,target,size,directed 
91,1581,S9,36,false
92,1584,RE11,108,false
93,1584,S1,1635,false
94,1585,R35,20,false
95,1593,R21,212,false
96,1593,S30,77,false
97,1604,S7,415,false
98,1618,S6,1269,false
99,1626,R37,60,false
100,1632,R13,357,false
101,1632,RE8,106,false
102,1634,R5,112,false
103,1639,R40,72,false
104,1639,RE11,145,false
105,1645,R40,72,false
106,1645,RE11,133,false
107,1682,R35,283,false
108,1688,S1,8,false
109,1690,R4,17,false
110,1690,RE2,13,false
111,1690,S5,1048,false
112,1698,R16,18,false
113,1698,R18,123,false
114,1704,R8,216,false
115,1707,R16,840,false
116,1707,R17,927,false
117,1707,R22,961,false
118,1707,R27,170,false
119,1707,R28,568,false
120,1707,RE1,195,false
121,1707,RE7,35,false
122,1707,S1,1635,false
123,1707,S2,210,false
124,1707,S3,910,false
125,1707,S4,899,false
126,1707,XP2,211,false
127,1708,R38,15,false
128,1708,R6,13,false
129,1708,S11,200,false
130,1708,S5,1048,false
131,1708,S6,1280,false
132,1711,R14,240,false
133,1711,R34,297,false
134,1711,R38,302,false
135,1711,R4,193,false
136,1711,S11,256,false
137,1711,S7,352,false
138,1711,S8,6,false
139,1711,S9,1217,false
140,1712,R34,28,false
141,1712,R4,168,false
142,1712,R6,82,false
143,1712,RE11,108,false
144,1712,RE2,117,false
145,1712,RE6,22,false
146,1713,S2,740,false
147,1713,S5,1048,false
148,1713,S6,1227,false
149,1714,S1,1635,false
150,1714,S2,36,false
151,1714,S5,990,false
152,1715,R14,240,false
153,1715,R21,64,false
154,1715,R23,90,false
155,1715,R28,174,false
156,1715,R6,70,false
157,1715,RE2,101,false
158,1715,RE5,187,false
159,1715,S11,754,false
160,1715,S6,44,false
161,1715,S7,419,false
162,1715,S8,836,false
163,1715,S9,113,false
164,1716,R31,322,false
165,1718,S1,1635,false
166,1718,S2,36,false
167,1718,S5,990,false
168,1719,S2,740,false
169,1719,S5,1048,false
170,1719,S6,1227,false
171,1720,R34,297,false
172,1720,R38,317,false
173,1720,RE11,147,false
174,1720,S1,8,false
175,1720,S2,740,false
176,1721,R31,52,false
177,1723,S1,1635,false
178,1723,S2,36,false
179,1723,S5,990,false
180,1728,R28,260,false
181,1728,R4,22,false
182,1728,RE11,147,false
183,1728,RE2,190,false
184,1728,RE4,117,false
185,1728,RE6,358,false
186,1728,RE8,281,false
187,1728,RE80,93,false
188,1728,S8,39,false
189,1728,XP2,167,false
190,1739,R37,166,false
191,1754,R18,118,false
192,1761,R18,124,false
193,1761,S7,389,false
194,1808,R1,180,false
195,1835,R8,228,false
196,1841,R14,240,false
197,1841,RE8,70,false
198,1841,RE80,84,false
199,1841,S11,256,false
200,1841,S7,420,false
201,1841,S8,10,false
202,1841,S9,1217,false
203,1842,S7,415,false
204,1846,R13,321,false
205,1846,RE8,96,false
206,1848,R4,205,false
207,1853,R21,203,false
208,1853,S30,77,false
209,1858,R25,32,false
210,1858,R31,320,false
211,1858,R36,146,false
212,1863,R37,172,false
213,1899,R36,120,false
214,1917,R25,43,false
215,1917,S6,1269,false
216,1919,R11,120,false
217,193,R25,13,false
218,193,R31,49,false
219,193,R35,273,false
220,1930,R18,41,false
221,1930,S7,406,false
222,1934,R13,50,false
223,1934,RE8,17,false
224,1936,R25,13,false
225,1936,R31,42,false
226,1937,S8,871,false
227,1940,R5,112,false
228,1940,R6,70,false
229,1949,R37,172,false
230,1964,S8,871,false
231,1969,R37,166,false
232,1973,R40,66,false
233,1974,R1,176,false
234,1974,R4,156,false
235,1998,R14,240,false
236,2015,R1,199,false
237,2019,R36,120,false
238,2033,R21,9,false
239,2033,R23,10,false
240,2033,S5,980,false
241,2035,R8,259,false
242,2036,R31,50,false
243,2046,R34,28,false
244,2046,R35,283,false
245,2046,R36,144,false
246,2046,R37,172,false
247,2111,R34,113,false
248,2111,R38,302,false
249,2111,R41,66,false
250,2112,R40,77,false
251,2112,R8,256,false
252,2112,RE11,133,false
253,2138,R35,283,false
254,2143,R34,28,false
255,2147,R4,182,false
256,2147,RE2,190,false
257,2147,RE6,347,false
258,2147,S5,1048,false
259,2147,S6,1227,false
