source,target,weight
2147,1712,505
2147,2919,340
2147,2920,54
2147,3016,92
2147,3061,1037
2147,3507,1633
2151,1139,205
2151,1258,219
2164,1134,12
2164,1626,54
2164,2211,105
2195,2218,24
2195,2760,26
2211,374,81
2211,1134,120
2211,1202,132
2211,1626,5
2211,2164,66
2218,1100,18
2218,2195,26
2218,2760,60
2218,2916,6
2223,424,117
2223,632,113
2223,2836,240
2223,3183,240
2235,424,113
2235,1111,117
2250,654,170
2260,801,148
2260,1542,9
2260,1593,174
2275,1089,112
2275,2477,120
2290,3012,10
2301,1863,172
2301,2046,166
2335,1425,9
2335,2336,228
2335,3114,216
2336,472,228
2336,2335,216
2337,634,405
2337,950,404
2345,381,630
2345,2987,980
2345,3098,1714
2391,1899,125
2391,2019,125
2392,1940,112
2392,3022,112
2419,799,176
2419,1085,184
2419,1848,185
2419,2437,6
2419,2919,186
2435,2564,84
2435,2651,67
2437,734,231
2437,1085,361
2437,1128,202
2437,1974,332
2437,2919,9
2477,2275,112
2477,2632,120
2481,1188,166
2481,1739,172
2487,710,828
2487,1720,815
2504,1100,26
2504,2916,18
2513,934,242
2513,2112,245
2518,746,33
2518,964,33
2520,710,815
2520,1688,828
2557,1645,22
2557,1973,44
2564,2111,84
2564,2435,67
2573,455,190
2573,2760,177
2589,1134,135
2589,2111,153
2603,576,112
2603,734,328
2603,1835,228
2604,1688,815
2604,2820,828
2611,1037,13
2611,3134,140
2611,3380,150
2612,1119,368
2612,1930,371
2612,2982,46
2632,1919,120
2632,2477,112
2636,636,148
2636,1542,174
2640,1311,140
2640,2138,163
2651,975,67
2651,2435,84
2655,2889,64
2655,2976,55
2686,937,172
2686,1584,149
2696,819,494
2696,1158,4
2696,1230,1137
2696,1841,83
2696,3222,84
2696,5052,734
2697,397,197
2697,632,202
2713,461,54
2713,1259,90
2713,1393,73
2713,3018,90
2716,1711,2192
2716,1841,2199
2757,948,90
2757,3018,90
2760,1025,20
2760,1846,162
2760,2195,24
2760,2573,170
2760,2916,124
2763,926,213
2763,997,209
2790,457,98
2790,746,194
2793,461,73
2793,3012,54
2808,455,177
2808,1846,172
2820,1584,828
2820,2604,815
2833,1393,9
2833,1853,148
2833,2906,174
2836,811,240
2836,2223,240
2850,2916,115
2850,3071,26
2881,1415,42
2881,2112,44
2889,1682,163
2889,2655,55
2889,2973,194
2894,1153,236
2894,2035,242
2906,636,174
2906,2833,148
2909,1618,639
2909,1917,630
2910,380,1031
2910,951,1037
2916,641,24
2916,2218,60
2916,2504,26
2916,2760,55
2916,2850,124
2919,734,4
2919,892,213
2919,951,1031
2919,1712,99
2919,2147,349
2919,2419,190
2919,2920,161
2919,3048,185
2920,2147,54
2920,2919,161
2920,3016,54
2920,3594,174
2923,779,8
2923,780,627
2923,1386,643
2930,891,417
2930,1604,418
2934,1402,144
2934,1407,136
2973,1858,7
2973,2889,198
2973,2981,194
2974,451,351
2974,85099,347
2976,1936,55
2976,2655,64
2981,193,194
2981,2973,198
2982,1119,371
2982,1550,446
2982,1930,30
2987,2033,980
2987,2345,990
2987,3098,15
2993,618,360
2993,1329,219
2993,1632,162
2994,1393,358
2994,1413,1011
2994,1492,512
3012,1253,54
3012,2793,73
3013,1263,120
3013,1919,112
3014,2019,125
3015,807,64
3015,1550,40
3016,632,146
3016,1712,9
3016,2147,85
3016,2920,54
3016,3594,161
3016,3595,174
3018,2713,90
3018,2757,90
3022,1634,112
3022,2392,112
3025,2099,173
3032,698,30
3032,1404,37
3038,813,228
3038,1425,216
3048,1848,185
3048,2919,185
3053,367,178
3053,1858,5
3053,2036,191
3061,1690,1037
3061,2147,1031
3071,641,26
3071,2850,18
3074,634,417
3074,891,418
3095,1037,136
3095,1467,144
3098,766,144
3098,1554,214
3098,1708,1714
3098,1715,273
3098,1728,73
3098,2345,1695
3099,1708,1755
3099,1712,124
3099,1713,1632
3099,1715,225
3101,768,417
3101,1842,418
3109,1202,51
3109,1415,44
3114,813,216
3114,2335,228
3119,381,639
3119,1174,630
3123,964,33
3134,2138,140
3134,2611,163
3169,1712,627
3169,1717,621
3169,1718,1633
3169,3507,1632
3183,632,240
3183,2223,240
3222,400,20
3222,401,110
3222,872,6
3222,1158,712
3222,1208,508
3222,2696,78
3372,997,213
3372,1201,190
3380,2046,150
3380,2611,140
3468,1718,2839
3468,1723,2837
3507,2147,1632
3507,3169,1633
3594,2920,161
3594,3016,174
3595,3016,161
3595,3596,174
3596,632,174
3596,3595,161
5046,819,455
5046,5073,903
5046,5086,431
5048,1707,2009
5048,5064,1973
5048,5262,555
5048,5264,310
5048,5309,522
5048,5314,120
5048,5336,464
5048,5338,17
5049,5064,734
5049,5073,743
5051,5348,121
5052,2696,743
5052,5073,734
5053,1707,190
5053,5054,2634
5054,1707,2634
5054,5053,2655
5056,1707,1230
5056,5057,1180
5057,5056,1230
5057,5058,1180
5058,5057,1230
5058,5059,1180
5059,5058,1230
5059,5060,1180
5060,5059,1230
5060,5061,1180
5061,5060,1230
5061,5062,1180
5062,5061,1230
5062,5063,1180
5063,5062,1230
5063,5064,1180
5064,5048,1914
5064,5049,743
5064,5063,1230
5065,1707,1428
5065,5066,1010
5065,5073,431
5066,5065,1001
5066,5409,1010
5069,5070,1010
5069,5409,1001
5070,5069,1001
5070,5071,472
5071,5070,476
5071,5072,472
5072,5071,476
5072,5073,472
5073,5046,903
5073,5049,734
5073,5052,743
5073,5065,427
5073,5072,476
5086,5046,462
5086,5087,431
5087,5086,462
5087,5088,431
5088,5087,462
5088,5089,409
5088,5090,13
5089,5088,427
5089,5090,409
5090,5089,427
5090,5091,422
5091,1698,13
5091,5090,427
5091,5092,409
5092,1698,409
5092,5091,427
5093,5352,95
5093,5353,62
5093,5355,120
5093,5359,93
5094,1698,427
5094,5095,319
5095,5094,322
5095,5096,247
5095,5097,72
5096,5095,304
5096,5097,247
5097,5095,18
5097,5096,304
5097,5098,319
5098,5097,322
5151,5152,93
5151,5359,249
5151,5361,174
5152,5151,79
5152,5361,224
5152,5362,190
5152,5364,93
5154,734,65
5154,5366,95
5154,5367,224
5154,5368,262
5154,5370,28
5262,5048,523
5262,5263,555
5263,5262,523
5263,5264,555
5264,766,272
5264,5048,333
5264,5263,523
5264,5265,659
5264,5266,310
5264,5334,170
5265,5264,625
5265,5266,659
5266,5264,333
5266,5265,625
5266,5276,324
5276,5266,345
5309,5048,551
5309,5310,522
5310,5309,551
5310,5311,522
5311,5310,551
5311,5312,522
5312,5311,551
5312,5313,522
5313,5312,551
5313,5314,522
5314,5048,107
5314,5313,551
5314,5315,522
5314,5318,120
5315,5314,551
5315,5316,522
5316,5315,551
5316,5317,522
5317,5316,551
5317,5318,522
5318,5314,107
5318,5317,551
5318,5319,642
5319,5318,658
5319,5320,382
5320,5319,413
5320,5321,366
5321,5320,397
5321,5322,366
5322,5321,397
5322,5323,366
5323,5322,397
5323,5324,154
5323,5325,212
5324,5323,138
5324,5325,154
5325,5323,259
5325,5324,138
5325,5326,366
5326,5325,397
5326,5327,366
5327,5326,397
5327,5328,366
5328,5327,397
5332,5333,170
5333,5332,170
5333,5334,170
5334,5264,170
5334,5333,170
5336,5048,463
5336,5337,464
5337,5336,463
5337,5338,464
5338,5048,26
5338,5337,463
5338,5339,464
5338,5343,17
5339,5338,463
5339,5340,464
5340,5339,463
5340,5341,464
5341,5340,463
5341,5342,464
5342,5341,463
5342,5343,464
5343,5338,26
5343,5342,463
5343,5344,481
5344,5343,489
5344,5345,481
5345,5344,476
5345,5346,459
5346,5345,468
5347,5051,62
5348,5051,95
5348,5347,62
5348,5350,121
5349,5348,62
5350,5348,95
5350,5349,62
5350,5352,121
5351,5350,62
5352,5093,93
5352,5350,95
5352,5351,62
5352,5353,28
5353,5093,28
5353,5352,62
5355,5093,170
5355,5356,120
5356,5355,170
5356,5357,120
5357,5356,170
5357,5359,120
5359,5093,79
5359,5151,213
5359,5357,170
5361,5151,224
5361,5152,174
5362,5152,224
5362,5363,190
5363,5362,224
5363,5364,190
5364,5152,95
5364,5363,224
5364,5365,283
5365,5364,319
5365,5366,283
5366,5154,93
5366,5365,319
5366,5367,190
5367,5154,190
5367,5366,224
5368,5154,314
5368,5369,262
5369,5368,314
5369,5370,262
5370,734,28
5370,5154,14
5370,5369,314
5370,5374,262
5374,5370,314
5374,5375,262
5375,5374,314
5375,5376,262
5376,5375,314
5376,5378,262
5378,734,262
5378,5376,314
5409,5066,1001
5409,5069,1010
85033,85053,135
85033,85099,321
85053,1087,135
85053,85033,137
85099,2974,351
85099,85033,297
