stop_id,stop_name
1040,CAVA TIGOZZI
642,BIASSONO-LESMO PARCO
3596,STEZZANO
1698,MERONE
5276,MALPENSA AEROPORTO T.2
2696,SEREGNO
5097,CANZO
2275,PRATA CAMPORTACCIO
891,CARATE-CALO'
1402,GAMBOLO'-REMONDO'
1712,MILANO LAMBRATE
2889,TORREBERETTI
5070,PALAZZOLO MILANESE
588,BARBIANELLO
2337,RENATE-VEDUGGIO
710,BORGOLOMBARDO
1719,MILANO REPUBBLICA
1714,MILANO PORTA GARIBALDI SOTTERRANEA
2211,PONTE D'ADDA
5332,TURBIGO
5351,SELLERO
5348,MALONNO
5368,PROVAGLIO-TIMOLINE
5365,SALE MARASINO
5355,CIVIDATE-MALEGNO
1632,MANDELLO DEL LARIO
2686,SECUGNAGO
5325,COCQUIO-TREVISAGO
5093,BRENO
1263,DUBINO
5343,GRANDATE-BRECCIA
85053,BALERNA
1259,DORMELLETTO
5091,INVERIGO
2437,ROVATO
1005,CASTELLUCCHIO
734,BRESCIA
401,ALBATE-TRECALLO
618,BELLANO TARTAVALLE TERME
388,AIRUNO
2218,PONTE IN VALTELLINA
2250,PORTO CERESIO
3099,MILANO VILLAPIZZONE
937,CASALPUSTERLENGO
1974,OSPITALETTO TRAVAGLIATO
5088,MARIANO COMENSE
1425,GHEDI
947,CASLETTO-ROGENO
934,CASALMAGGIORE
400,ALBATE CAMERLATA
2820,TAVAZZANO
3018,VERGIATE
801,CALDE'
1846,MORBEGNO
872,CANTU'
1858,MORTARA
2504,S.GIACOMO DI TEGLIO
3372,MADIGNANO
1761,MOLTENO
964,CASTEGGIO
2513,S.GIOVANNI IN CROCE
424,AMBIVERE MAPELLO
58,MILANO ROMOLO
1025,CASTIONE ANDEVENNO
1228,DERVIO
2994,VARESE
5069,PADERNO DUGNANO
813,CALVISANO
5375,PADERNO
5369,BORGONATO-ADRO
5366,SULZANO
5357,PIAN DI BORNO
5356,COGNO-ESINE
5317,VEDANO OLONA
5327,CITTIGLIO
2035,PARMA
2612,SALA AL BARRO-GALBIATE
1187,CORSICO
3022,VEROLANUOVA
1492,INDUNO OLONA
1645,MARCARIA
1930,OGGIONO
5066,MILANO BRUZZANO PARCO NORD
2015,PALAZZOLO SULL'OGLIO
3053,VIGEVANO
5334,VANZAGHELLO-MAGNAGO
3169,MILANO FORLANINI
2235,PONTIDA
1969,OSPEDALETTO LODIGIANO
374,ACQUANEGRA CREMONESE
736,BRESSANA ARGINE
5053,MILANO CADORNA
2909,TRECATE
766,BUSTO ARSIZIO
1139,COLICO
1899,NICORVO
1467,GROPELLO CAIROLI
1100,CHIURO
5311,MOZZATE
2195,POGGIRIDENTI-TRESIVIO-PIATEDA
3134,ZINASCO NUOVO
950,CASSAGO-NIBIONNO-BULCIAGO
3071,VILLA DI TIRANO
1585,LOMELLO
1404,GARBAGNA
2391,ROBBIO
1542,LAVENO MOMBELLO
5266,MALPENSA AEROPORTO T.1
1575,LIERNA
1964,OSNAGO
2916,TRESENDA-APRICA-TEGLIO
2881,TORRE DE' PICENARDI
1708,MILANO CERTOSA
2790,STRADELLA
1688,MELEGNANO
1093,CHIGNOLO PO
615,BELGIOIOSO
3098,RHO FIERA
975,CASTEL S.GIOVANNI
2923,TREZZANO SUL NAVIGLIO
5048,SARONNO
1554,LEGNANO
380,POZZUOLO MARTESANA
1716,MILANO PORTA GENOVA
5322,BARASSO-COMERIO
768,BUTTAFAVA
1917,NOVARA
807,CALOLZIOCORTE OLGINATE
5263,CASTELLANZA
1174,CORBETTA-S.STEFANO TICINO
2603,S.ZENO FOLZANO
451,ARCISATE
1682,MEDE
5353,CETO-CERVENO
5376,CASTEGNATO
5374,PASSIRANO
5361,PIANCAMUNO-GRATACASOLO
5359,BOARIO TERME
1151,COLOGNE
2481,S.CRISTINA E BISSONE
2850,TIRANO
397,ALBANO S.ALESSANDRO
698,BORGO LAVEZZARO
2973,VALENZA
5061,GARBAGNATE MILANESE
5095,PONTELAMBRO-CASTELMARTE
1193,COSTA MASNAGA
