,source,target,route,size
219,1119,2982,S7,4
220,1128,1151,R1,4
221,1128,2437,R1,3
222,1134,937,R37,3
223,1134,937,R38,3
224,1134,1584,RE11,1
225,1134,2111,R38,1
226,1134,2211,RE11,3
227,1134,2589,R38,4
228,1139,618,RE8,3
229,1139,1225,R13,2
230,1139,1263,R11,2
231,1139,1846,RE8,2
232,1139,2151,R13,3
233,1151,1128,R1,3
234,1151,2015,R1,4
235,1153,1704,R8,3
236,1153,2894,R8,3
237,1158,1087,RE80,3
238,1158,1087,S10,3
239,1158,1087,S11,3
240,1158,1087,S40,3
241,1158,3222,R18,3
242,1158,3222,RE80,3
243,1158,3222,S11,6
244,1174,1618,S6,6
245,1174,3119,S6,6
246,1187,780,S9,6
247,1187,1721,S9,5
248,1188,615,R37,3
249,1188,2481,R37,3
250,1189,1225,R13,2
251,1189,1846,R13,2
252,1193,950,S7,3
253,1193,1761,S7,5
254,1201,932,R6,3
255,1201,3372,R6,5
256,1202,1940,R5,3
257,1202,1940,R6,3
258,1202,2112,RE11,3
259,1202,2211,RE11,3
260,1208,873,S11,6
261,1208,3222,S11,5
262,1225,1139,R13,2
263,1225,1189,R13,2
264,1228,618,R13,2
265,1228,1258,R13,3
266,1229,734,RE6,3
267,1229,2099,RE6,3
268,1230,1581,S11,6
269,1230,1581,S9,6
270,1230,2696,S11,6
271,1230,2696,S9,5
272,1253,3012,RE4,1
273,1258,1228,R13,3
274,1258,2151,R13,3
275,1259,461,R23,2
276,1259,2713,R23,1
277,1263,1139,R11,3
278,1263,3013,R11,2
279,1311,1585,R35,3
280,1311,2640,R35,3
281,1329,1575,R13,3
282,1329,2993,R13,3
283,1386,779,S9,6
284,1386,2923,S9,6
285,1393,635,R21,4
286,1393,635,S30,1
287,1393,766,R23,1
288,1393,766,RE4,1
289,1393,766,RE5,3
290,1393,766,S5,6
291,1393,766,S50,3
292,1393,948,R23,2
293,1393,1046,S5,6
294,1393,2713,RE4,1
295,1393,2994,RE5,5
296,1393,2994,S50,2
297,1402,1858,R36,3
298,1402,2934,R36,3
299,1404,1917,R25,1
300,1404,3032,R25,2
301,1407,1467,R36,2
302,1407,2934,R36,3
303,1413,1029,S5,6
304,1413,2994,S5,6
305,1415,3109,R40,1
306,1425,1835,R8,2
307,1425,3038,R8,3
308,1467,1407,R36,2
309,1467,3095,R36,3
310,1473,1099,R1,4
