,source,target,route,size
178,905,1998,R14,4
179,926,1940,R6,3
180,926,2763,R6,7
181,932,883,R6,6
182,932,1201,R6,4
183,934,1704,R8,5
184,934,2513,R8,4
185,937,1134,R37,2
186,937,1134,R38,4
187,937,1584,R38,1
188,937,1969,R37,3
189,937,2686,R38,7
190,947,1754,R18,3
191,947,1761,R18,3
192,948,1393,R23,3
193,948,2757,R23,2
194,950,1193,S7,4
195,950,2337,S7,9
196,951,2910,R4,1
197,951,2910,S5,9
198,951,2919,S5,8
199,964,2518,R41,1
200,975,457,R34,3
201,975,2651,R34,1
202,975,2651,R41,1
203,997,1201,R6,2
204,997,2763,R6,4
205,997,3372,R6,5
206,1005,725,RE11,1
207,1005,1639,R40,1
208,1005,1639,RE11,1
209,1005,1645,R40,1
210,1005,1645,RE11,3
211,1025,2573,R13,1
212,1029,405,RE5,1
213,1029,405,S5,10
214,1029,1413,S5,7
215,1037,2046,R35,1
216,1037,2046,R36,3
217,1037,3095,R36,4
218,1039,737,R34,3
219,1039,2046,R34,5
220,1040,374,R37,2
221,1040,1202,R37,1
222,1040,1202,R39,1
223,1046,405,S5,7
224,1046,1393,RE5,1
225,1046,1393,S5,9
226,1066,905,RE8,1
227,1066,1937,S8,8
228,1066,1964,S8,9
229,1085,799,R4,6
230,1085,2419,R4,1
231,1085,2419,RE6,5
232,1085,2437,R4,4
233,1085,2437,RE6,3
234,1087,1158,RE80,3
235,1087,1158,S10,1
236,1087,1158,S11,5
237,1087,1158,S40,4
238,1087,85053,S40,5
239,1089,1919,R11,1
240,1089,2275,R11,4
241,1093,1528,R37,2
242,1093,1739,R37,3
243,1099,1473,R1,4
244,1099,1808,R1,6
245,1100,2218,RE8,1
246,1111,807,R7,4
247,1111,2235,R7,4
248,1119,2612,S7,7
249,1119,2982,R18,1
250,1119,2982,S7,2
251,1128,1151,R1,6
252,1128,2437,R1,4
253,1134,937,R37,3
254,1134,937,R38,7
255,1134,1584,RE11,3
256,1134,1626,R37,1
257,1134,1626,R39,1
258,1134,2164,RE11,1
259,1134,2211,RE11,1
260,1134,2589,R38,4
261,1139,618,RE8,3
262,1139,1225,R13,2
263,1139,1228,RE8,1
264,1139,1263,R11,3
265,1139,1846,RE8,3
266,1139,1919,R11,1
267,1139,2151,R13,4
268,1139,2151,RE8,1
269,1151,1128,R1,4
270,1151,2015,R1,6
271,1153,1704,R8,4
272,1153,2894,R8,5
273,1158,873,RE80,2
274,1158,1087,RE80,3
275,1158,1087,S10,5
276,1158,1087,S11,4
277,1158,1087,S40,5
278,1158,3222,R18,3
279,1158,3222,RE80,3
280,1158,3222,S10,1
281,1158,3222,S11,10
282,1174,1618,S6,7
283,1174,3119,S6,9
284,1187,780,S9,8
285,1187,1721,S9,7
286,1188,615,R37,3
287,1188,2481,R37,2
288,1189,1225,R13,4
289,1189,1846,R13,2
290,1193,950,S7,9
291,1193,1761,S7,4
292,1201,932,R6,6
293,1201,2919,R6,1
294,1201,3372,R6,4
295,1202,374,R39,1
296,1202,1040,R37,2
297,1202,1940,R5,4
298,1202,1940,R6,8
299,1202,2112,RE11,2
300,1202,2211,RE11,4
301,1202,3109,R40,1
302,1208,873,S11,9
303,1208,3222,S11,7
304,1225,1139,R13,4
305,1225,1189,R13,2
306,1228,618,R13,4
307,1228,618,RE8,2
308,1228,1258,R13,1
309,1229,734,RE6,5
310,1229,2099,RE6,3
311,1230,1581,S11,9
312,1230,1581,S9,7
313,1230,1841,RE80,1
314,1230,2696,S11,8
315,1230,2696,S9,9
