,source,target,size
312,1688,2520.0,150
313,1688,2604.0,150
314,1690,380.0,150
315,1690,3061.0,150
316,1698,438.0,30
317,1698,1754.0,30
318,1698,5092.0,87
319,1698,5094.0,104
320,1704,934.0,43
321,1704,1153.0,36
322,1707,1713.0,228
323,1707,1715.0,51
324,1707,5048.0,407
325,1707,5053.0,25
326,1707,5054.0,460
327,1707,5056.0,228
328,1707,5065.0,303
329,1708,1712.0,8
330,1708,3098.0,309
331,1708,3099.0,343
332,1711,1712.0,230
333,1711,1715.0,260
334,1711,2716.0,448
335,1712,1711.0,201
336,1712,1720.0,105
337,1712,1728.0,60
338,1712,2147.0,93
339,1712,2919.0,58
340,1712,3099.0,35
341,1712,3169.0,126
342,1713,1707.0,228
343,1713,1714.0,522
344,1713,3099.0,294
345,1714,1713.0,522
346,1714,1719.0,522
347,1715,1707.0,57
348,1715,1711.0,335
349,1715,1728.0,44
350,1715,3098.0,80
351,1715,3099.0,83
352,1716,779.0,5
353,1716,1721.0,63
354,1717,58.0,126
355,1717,3169.0,126
356,1718,1720.0,190
357,1718,3169.0,294
358,1718,3468.0,509
359,1719,1714.0,522
360,1719,1723.0,492
361,1720,1584.0,80
362,1720,1712.0,52
363,1720,1718.0,190
364,1720,2046.0,36
365,1720,2487.0,150
366,1721,58.0,105
367,1721,779.0,56
368,1721,1187.0,105
369,1721,1716.0,21
370,1723,1719.0,492
371,1723,3468.0,492
372,1728,1712.0,94
373,1728,1715.0,48
374,1728,1841.0,63
375,1728,3098.0,9
376,1739,1093.0,48
377,1739,2481.0,42
378,1754,947.0,30
379,1754,1698.0,30
380,1761,947.0,30
381,1761,1193.0,66
382,1761,1930.0,108
383,1808,397.0,47
384,1808,1099.0,36
385,1835,734.0,9
386,1835,1425.0,54
387,1835,2603.0,18
388,1841,453.0,138
389,1841,807.0,24
390,1841,905.0,12
391,1841,1550.0,9
392,1841,1581.0,199
393,1841,1728.0,52
394,1841,1842.0,130
395,1841,2696.0,12
396,1841,2716.0,399
397,1842,1841.0,66
