,source,target,size
165,1128,2437.0,44
166,1134,937.0,18
167,1134,1584.0,12
168,1134,1626.0,51
169,1134,2211.0,12
170,1134,2589.0,36
171,1139,618.0,20
172,1139,1263.0,8
173,1139,1846.0,34
174,1151,1128.0,24
175,1151,2015.0,24
176,1153,1704.0,25
177,1153,2894.0,18
178,1158,1087.0,64
179,1158,3222.0,93
180,1174,1618.0,133
181,1174,3119.0,96
182,1187,780.0,127
183,1187,1721.0,86
184,1188,615.0,14
185,1188,2481.0,20
186,1193,1761.0,44
187,1201,932.0,11
188,1201,3372.0,22
189,1202,2112.0,24
190,1202,2211.0,12
191,1208,873.0,94
192,1208,3222.0,98
193,1228,1139.0,13
194,1228,1258.0,24
195,1229,734.0,33
196,1229,2099.0,55
197,1230,1581.0,181
198,1230,2696.0,177
199,1253,3012.0,9
200,1258,2151.0,24
201,1259,461.0,30
202,1259,2713.0,20
203,1263,1139.0,8
204,1263,3013.0,8
205,1311,2640.0,10
206,1329,1575.0,19
207,1329,2993.0,12
208,1386,779.0,127
209,1386,2923.0,86
210,1393,635.0,22
211,1393,766.0,191
212,1393,948.0,30
213,1393,1046.0,150
214,1393,2713.0,9
215,1393,2994.0,64
216,1402,1858.0,8
217,1402,2934.0,12
218,1404,3032.0,6
219,1407,1467.0,12
220,1407,2934.0,8
221,1413,1029.0,96
222,1413,2994.0,180
223,1425,1835.0,36
224,1425,3038.0,12
225,1467,3095.0,24
226,1473,1099.0,24
227,1473,2015.0,44
228,1492,451.0,75
229,1492,2994.0,57
230,1528,1093.0,14
231,1528,1949.0,20
232,1542,801.0,36
233,1542,2636.0,11
234,1550,365.0,25
235,1550,807.0,7
236,1550,1551.0,78
237,1550,1632.0,21
238,1550,1841.0,20
239,1551,807.0,78
240,1551,1550.0,104
241,1554,766.0,210
242,1554,858.0,120
243,1554,3098.0,20
244,1575,1329.0,12
245,1575,1934.0,19
246,1575,2993.0,13
247,1581,1230.0,177
248,1581,1841.0,181
249,1584,1134.0,12
250,1584,1720.0,42
251,1584,2686.0,38
252,1584,2820.0,100
253,1585,1311.0,10
254,1593,2260.0,11
255,1604,642.0,22
256,1604,2930.0,22
257,1618,1174.0,96
258,1618,2909.0,133
259,1626,2164.0,51
260,1632,365.0,19
261,1632,1550.0,20
262,1632,1575.0,13
263,1632,1934.0,12
264,1632,2993.0,21
265,1634,3022.0,8
266,1639,1005.0,12
267,1645,725.0,12
268,1645,1005.0,24
269,1682,1585.0,10
270,1688,2520.0,125
271,1688,2604.0,140
272,1690,380.0,180
273,1690,951.0,9
274,1690,2910.0,13
275,1690,3061.0,144
276,1698,1754.0,12
277,1698,1761.0,6
278,1698,5092.0,19
279,1698,5094.0,90
280,1704,934.0,25
281,1704,1153.0,18
282,1707,1713.0,141
283,1707,1715.0,53
284,1707,5048.0,292
285,1707,5053.0,50
286,1707,5054.0,450
287,1707,5056.0,166
288,1707,5065.0,208
289,1708,3098.0,301
290,1708,3099.0,256
291,1711,1712.0,122
292,1711,1715.0,284
293,1711,1728.0,13
294,1711,2716.0,303
295,1712,1711.0,143
296,1712,1715.0,44
297,1712,1720.0,58
298,1712,1728.0,83
299,1712,2147.0,106
300,1712,3169.0,84
301,1713,1707.0,201
302,1713,1714.0,386
303,1713,3099.0,329
304,1714,1713.0,530
305,1714,1719.0,386
306,1715,1707.0,48
307,1715,1711.0,198
308,1715,1728.0,53
309,1715,3098.0,40
310,1716,1721.0,50
311,1717,58.0,84
312,1717,3169.0,102
313,1718,1720.0,141
314,1718,3169.0,275
315,1718,3468.0,487
316,1719,1714.0,530
317,1719,1723.0,386
318,1720,1584.0,41
319,1720,1712.0,53
320,1720,1718.0,163
321,1720,2046.0,28
322,1720,2487.0,140
323,1721,58.0,102
324,1721,779.0,28
325,1721,1187.0,106
326,1721,1716.0,28
327,1723,1719.0,500
328,1723,3468.0,386
329,1728,1711.0,26
330,1728,1712.0,105
331,1728,1715.0,39
332,1728,1841.0,34
333,1728,3098.0,9
334,1739,1093.0,20
335,1739,2481.0,14
336,1754,947.0,12
337,1761,1550.0,6
338,1761,1930.0,66
339,1761,2982.0,12
340,1808,397.0,24
341,1808,1099.0,24
342,1808,1473.0,10
343,1835,2603.0,36
344,1841,453.0,127
345,1841,807.0,13
346,1841,1550.0,9
347,1841,1581.0,163
348,1841,1728.0,44
349,1841,1842.0,22
350,1841,2696.0,12
351,1841,2716.0,360
352,1842,1841.0,22
353,1842,3101.0,22
354,1846,1139.0,9
355,1846,2760.0,34
356,1848,2419.0,45
357,1848,3048.0,24
358,1853,635.0,22
359,1853,2833.0,22
360,1858,1402.0,12
361,1858,1936.0,14
362,1858,2036.0,21
363,1863,407.0,20
364,1863,2301.0,14
365,1899,1858.0,12
366,1917,1404.0,6
367,1917,2909.0,77
368,1919,2632.0,8
369,1919,3013.0,8
370,1930,2612.0,66
371,1934,1575.0,12
372,1934,1632.0,19
373,1936,2976.0,28
374,1937,388.0,104
375,1937,1066.0,78
376,1940,1202.0,52
377,1949,1528.0,14
378,1949,1969.0,20
379,1964,905.0,91
380,1964,1066.0,91
381,1969,937.0,40
382,1974,734.0,92
383,1974,2437.0,36
384,1998,811.0,48
385,1998,905.0,36
386,2015,1128.0,20
387,2015,1151.0,24
388,2015,1473.0,24
389,2019,2391.0,12
390,2033,858.0,200
391,2033,2987.0,120
392,2035,2894.0,25
393,2036,1858.0,57
394,2036,3053.0,21
395,2046,1039.0,28
396,2046,1720.0,11
397,2046,2301.0,20
398,2099,1229.0,22
399,2099,3025.0,55
400,2111,2564.0,11
401,2111,2589.0,18
402,2112,725.0,24
403,2112,866.0,18
404,2112,1202.0,12
405,2138,3134.0,10
406,2143,588.0,28
407,2143,736.0,11
408,2147,1690.0,9
409,2147,1712.0,83
410,2147,2919.0,80
411,2147,2920.0,6
412,2147,3016.0,10
413,2147,3061.0,193
414,2147,3507.0,280
415,2151,1139.0,24
416,2164,2211.0,51
417,2211,374.0,40
418,2211,1134.0,12
419,2211,1202.0,35
420,2223,424.0,14
421,2223,632.0,7
422,2223,2836.0,36
423,2223,3183.0,48
424,2235,424.0,7
425,2235,1111.0,14
426,2250,654.0,15
427,2260,801.0,11
428,2260,1593.0,47
429,2275,1089.0,8
430,2275,2477.0,8
431,2301,1863.0,20
432,2301,2046.0,14
433,2335,2336.0,12
434,2335,3114.0,36
435,2336,472.0,12
436,2336,2335.0,36
437,2337,950.0,44
438,2345,381.0,133
439,2345,2987.0,170
440,2345,3098.0,246
441,2391,1899.0,12
442,2392,1940.0,16
443,2419,799.0,36
444,2419,1085.0,55
445,2419,1848.0,24
446,2419,2919.0,33
447,2435,2564.0,17
448,2435,2651.0,11
449,2437,734.0,55
450,2437,1085.0,57
451,2437,1128.0,24
452,2437,1974.0,80
453,2477,2275.0,8
454,2477,2632.0,8
455,2481,1188.0,14
456,2481,1739.0,20
457,2487,710.0,140
458,2487,1720.0,125
459,2513,934.0,18
460,2513,2112.0,25
461,2518,964.0,11
462,2520,710.0,125
463,2520,1688.0,140
464,2564,2111.0,17
465,2564,2435.0,11
466,2589,1134.0,18
467,2589,2111.0,36
468,2603,576.0,8
469,2603,734.0,62
470,2604,1688.0,125
471,2604,2820.0,140
472,2611,3380.0,10
473,2612,1119.0,66
474,2632,1919.0,8
475,2632,2477.0,8
476,2636,636.0,22
477,2636,1542.0,36
478,2640,2138.0,10
479,2651,975.0,11
480,2651,2435.0,17
481,2655,2889.0,28
482,2686,937.0,38
483,2686,1584.0,18
484,2696,819.0,98
485,2696,1230.0,160
486,2696,1841.0,6
487,2696,3222.0,18
488,2696,5052.0,69
489,2697,397.0,34
490,2697,632.0,24
491,2713,461.0,9
492,2713,1259.0,30
493,2713,1393.0,9
494,2713,3018.0,20
495,2716,1711.0,360
496,2716,1841.0,316
497,2757,948.0,20
498,2757,3018.0,30
499,2760,1846.0,9
500,2760,2916.0,24
501,2763,926.0,22
502,2763,997.0,11
503,2790,457.0,31
504,2790,746.0,11
505,2793,461.0,9
506,2793,3012.0,9
507,2820,1584.0,165
508,2820,2604.0,100
509,2833,1853.0,22
510,2833,2906.0,22
511,2836,811.0,36
512,2836,2223.0,48
513,2889,1682.0,10
514,2889,2973.0,28
515,2894,1153.0,25
516,2894,2035.0,18
517,2906,636.0,36
518,2906,2833.0,22
519,2909,1618.0,77
520,2909,1917.0,152
521,2910,380.0,144
522,2910,951.0,223
523,2916,2850.0,24
524,2919,892.0,22
525,2919,951.0,144
526,2919,2147.0,68
527,2919,2419.0,44
528,2919,2920.0,14
529,2919,3048.0,45
530,2920,2919.0,14
531,2920,3016.0,13
532,2920,3594.0,27
533,2923,780.0,86
534,2923,1386.0,127
535,2930,891.0,22
536,2930,1604.0,22
537,2934,1402.0,8
538,2934,1407.0,12
539,2973,2981.0,28
540,2974,451.0,42
541,2974,85099.0,55
542,2976,2655.0,28
543,2981,193.0,28
544,2982,1550.0,78
545,2987,2033.0,170
546,2987,2345.0,150
547,2993,618.0,46
548,2993,1329.0,19
549,2993,1632.0,20
550,2994,1393.0,31
551,2994,1413.0,96
552,2994,1492.0,75
553,3012,1253.0,9
554,3012,2793.0,9
555,3013,1263.0,8
556,3013,1919.0,8
557,3014,2019.0,12
558,3016,632.0,23
559,3016,2147.0,15
560,3016,3594.0,14
561,3016,3595.0,27
562,3018,2713.0,30
563,3018,2757.0,20
564,3022,2392.0,16
565,3025,2099.0,22
566,3032,698.0,6
567,3038,813.0,12
568,3038,1425.0,36
569,3048,1848.0,45
570,3048,2919.0,24
571,3053,367.0,21
572,3053,2036.0,57
573,3061,1690.0,193
574,3061,2147.0,174
575,3074,634.0,44
576,3095,1037.0,24
577,3098,766.0,39
578,3098,1554.0,10
579,3098,1708.0,246
580,3098,1715.0,40
581,3098,1728.0,18
582,3098,2345.0,320
583,3099,1708.0,346
584,3099,1713.0,245
585,3099,1715.0,11
586,3101,768.0,22
587,3101,1842.0,22
588,3114,813.0,36
589,3114,2335.0,12
590,3119,381.0,96
591,3119,1174.0,133
592,3134,2611.0,10
593,3169,1712.0,102
594,3169,1717.0,84
595,3169,1718.0,299
596,3169,3507.0,275
597,3183,632.0,60
598,3183,2223.0,36
599,3222,872.0,6
