,source,target,size
192,1087,1158.0,128
193,1087,85053.0,47
194,1089,1919.0,3
195,1089,2275.0,32
196,1093,1528.0,34
197,1093,1739.0,54
198,1099,1473.0,47
199,1099,1808.0,71
200,1100,2218.0,17
201,1111,807.0,30
202,1111,2235.0,31
203,1119,2612.0,151
204,1119,2982.0,60
205,1128,1151.0,71
206,1128,2437.0,47
207,1134,937.0,113
208,1134,1584.0,39
209,1134,1626.0,27
210,1134,2164.0,13
211,1134,2211.0,12
212,1134,2589.0,36
213,1139,618.0,39
214,1139,1225.0,25
215,1139,1228.0,10
216,1139,1263.0,24
217,1139,1846.0,33
218,1139,1919.0,3
219,1139,2151.0,93
220,1151,1128.0,47
221,1151,2015.0,71
222,1153,1704.0,72
223,1153,2894.0,68
224,1158,873.0,11
225,1158,1087.0,135
226,1158,3222.0,211
227,1174,1618.0,117
228,1174,3119.0,163
229,1187,780.0,138
230,1187,1721.0,147
231,1188,615.0,54
232,1188,2481.0,34
233,1189,1225.0,76
234,1189,1846.0,25
235,1193,950.0,185
236,1193,1761.0,76
237,1201,932.0,75
238,1201,2919.0,7
239,1201,3372.0,44
240,1202,374.0,5
241,1202,1040.0,40
242,1202,1940.0,125
243,1202,2112.0,25
244,1202,2211.0,51
245,1202,3109.0,11
246,1208,873.0,132
247,1208,3222.0,103
248,1225,1139.0,76
249,1225,1189.0,25
250,1228,618.0,103
251,1228,1258.0,17
252,1229,734.0,52
253,1229,2099.0,33
254,1230,1581.0,279
255,1230,1841.0,6
256,1230,2696.0,282
257,1253,2290.0,10
258,1253,3012.0,18
259,1258,1228.0,93
260,1258,2151.0,17
261,1259,461.0,20
262,1259,2713.0,30
263,1263,1139.0,32
264,1263,3013.0,24
265,1311,1585.0,39
266,1311,2640.0,62
267,1329,1575.0,74
268,1329,2993.0,19
269,1386,779.0,138
270,1386,2923.0,168
271,1393,635.0,47
272,1393,766.0,423
273,1393,948.0,20
274,1393,1046.0,192
275,1393,1554.0,29
276,1393,2033.0,9
277,1393,2713.0,18
278,1393,2994.0,74
279,1393,3098.0,13
280,1402,1858.0,40
281,1402,2934.0,44
282,1404,1917.0,24
283,1407,1467.0,32
284,1407,2934.0,40
285,1413,1029.0,315
286,1413,2994.0,162
287,1415,2881.0,11
288,1415,3109.0,20
289,1425,1835.0,72
290,1425,3038.0,72
291,1467,1407.0,40
292,1467,3095.0,32
293,1473,1099.0,71
294,1473,2015.0,47
295,1492,451.0,136
296,1492,2994.0,162
297,1528,1093.0,54
298,1528,1949.0,34
299,1542,636.0,9
300,1542,801.0,47
301,1542,2636.0,60
302,1550,365.0,36
303,1550,807.0,40
304,1550,1551.0,130
305,1550,1632.0,33
306,1550,1841.0,38
307,1550,1930.0,12
308,1550,2982.0,181
309,1550,3015.0,24
310,1551,807.0,130
311,1551,1550.0,104
312,1554,766.0,220
313,1554,858.0,284
314,1554,1393.0,14
315,1554,2033.0,15
316,1554,3098.0,36
317,1575,1329.0,19
318,1575,1934.0,74
319,1575,2993.0,17
320,1581,1230.0,282
321,1581,1841.0,265
322,1584,1134.0,25
323,1584,1720.0,105
324,1584,2686.0,36
325,1584,2820.0,225
326,1585,1311.0,62
327,1585,1682.0,39
328,1593,2260.0,69
329,1604,642.0,163
330,1604,2930.0,98
331,1618,1174.0,163
332,1618,2909.0,98
333,1626,1134.0,45
334,1626,2164.0,27
335,1632,365.0,74
336,1632,1550.0,49
337,1632,1575.0,17
338,1632,1934.0,19
339,1632,2993.0,33
340,1634,576.0,32
341,1634,3022.0,16
342,1639,1005.0,57
343,1645,725.0,45
344,1645,1005.0,13
345,1645,2557.0,11
346,1682,1585.0,62
347,1682,2889.0,39
348,1688,2520.0,200
349,1688,2604.0,188
350,1690,380.0,214
351,1690,3061.0,257
352,1698,438.0,35
353,1698,1754.0,44
354,1698,5092.0,140
355,1698,5094.0,65
356,1704,934.0,72
357,1704,1153.0,68
358,1707,1713.0,306
359,1707,1715.0,78
360,1707,5048.0,484
361,1707,5053.0,35
362,1707,5054.0,707
363,1707,5056.0,279
364,1707,5065.0,308
365,1708,3098.0,361
366,1708,3099.0,469
367,1711,1712.0,255
368,1711,1715.0,396
369,1711,1728.0,14
370,1711,1841.0,4
371,1711,2716.0,543
372,1712,1708.0,20
373,1712,1711.0,301
374,1712,1715.0,12
375,1712,1720.0,106
376,1712,1728.0,130
377,1712,2147.0,133
378,1712,3099.0,47
379,1712,3169.0,159
380,1713,1707.0,253
381,1713,1714.0,713
382,1713,3099.0,324
383,1714,1713.0,577
384,1714,1719.0,713
385,1715,1707.0,76
386,1715,1711.0,434
387,1715,1712.0,33
388,1715,1728.0,71
389,1715,3098.0,84
390,1715,3099.0,90
391,1716,1721.0,29
392,1717,58.0,159
393,1717,3169.0,147
394,1718,1720.0,268
395,1718,3169.0,377
396,1718,3468.0,607
397,1719,1714.0,577
398,1719,1723.0,713
399,1720,1584.0,61
400,1720,1712.0,152
401,1720,1718.0,266
402,1720,2046.0,45
403,1720,2487.0,188
404,1721,58.0,147
405,1721,779.0,21
406,1721,1187.0,138
407,1721,1716.0,73
408,1721,2923.0,8
409,1723,1719.0,577
410,1723,3468.0,683
411,1728,1712.0,91
412,1728,1715.0,76
413,1728,1841.0,72
414,1728,3098.0,18
415,1739,1093.0,34
416,1739,2481.0,54
417,1754,947.0,44
418,1754,1698.0,35
419,1761,947.0,35
420,1761,1193.0,185
421,1761,1930.0,106
422,1808,397.0,71
423,1808,1099.0,47
424,1835,1425.0,72
425,1835,2603.0,54
426,1841,453.0,177
427,1841,905.0,4
428,1841,1550.0,44
429,1841,1581.0,282
430,1841,1728.0,100
431,1841,1842.0,98
432,1841,2696.0,22
433,1841,2716.0,570
434,1842,1841.0,163
435,1842,3101.0,98
436,1846,1139.0,49
437,1846,1189.0,76
438,1846,2760.0,22
439,1846,2808.0,25
440,1848,2419.0,48
441,1848,3048.0,77
442,1853,635.0,60
443,1853,2833.0,47
444,1858,406.0,24
445,1858,1402.0,44
446,1858,1899.0,29
447,1858,2036.0,76
448,1858,3053.0,7
449,1863,407.0,34
450,1863,2301.0,54
451,1899,1858.0,36
452,1899,2391.0,29
453,1917,2909.0,182
454,1919,1089.0,3
455,1919,1139.0,3
456,1919,2632.0,24
457,1919,3013.0,32
458,1930,1761.0,193
459,1930,2612.0,92
460,1934,1575.0,19
461,1934,1632.0,74
462,1936,1858.0,42
463,1937,388.0,104
464,1937,1066.0,117
465,1940,926.0,93
466,1940,1202.0,49
467,1940,2392.0,32
468,1949,1528.0,54
469,1949,1969.0,34
470,1964,905.0,117
471,1964,1066.0,117
472,1969,937.0,34
473,1969,1949.0,54
474,1973,1005.0,11
475,1974,734.0,60
476,1974,2437.0,137
477,1998,811.0,48
478,1998,905.0,84
479,2015,1151.0,47
480,2015,1473.0,71
481,2019,2391.0,36
482,2019,3014.0,17
