,source,target,size
570,3109,1415.0,11
571,3114,813.0,18
572,3114,2335.0,36
573,3119,381.0,114
574,3119,1174.0,114
575,3134,2138.0,13
576,3134,2611.0,13
577,3169,1712.0,105
578,3169,1717.0,105
579,3169,1718.0,294
580,3169,3507.0,275
581,3183,632.0,36
582,3183,2223.0,36
583,3222,401.0,10
584,3222,1158.0,91
585,3222,1208.0,68
586,3222,2696.0,12
587,3372,997.0,36
588,3372,1201.0,33
589,3380,2046.0,13
590,3380,2611.0,13
591,3468,1718.0,509
592,3468,1723.0,512
593,3507,2147.0,294
594,3507,3169.0,275
595,3594,2920.0,21
596,3594,3016.0,21
597,3595,3016.0,21
598,3595,3596.0,21
599,3596,632.0,21
600,3596,3595.0,21
601,5046,819.0,65
602,5046,5073.0,122
603,5046,5086.0,57
604,5048,1707.0,240
605,5048,5064.0,378
606,5048,5262.0,64
607,5048,5264.0,63
608,5048,5309.0,64
609,5048,5336.0,60
610,5049,5064.0,150
611,5049,5073.0,150
612,5051,5348.0,13
613,5052,2696.0,129
614,5052,5073.0,150
615,5053,1707.0,25
616,5053,5054.0,406
617,5054,1707.0,393
618,5054,5053.0,379
619,5056,1707.0,228
620,5056,5057.0,178
621,5057,5056.0,203
622,5057,5058.0,203
623,5058,5057.0,228
624,5058,5059.0,203
625,5059,5058.0,228
626,5059,5060.0,203
627,5060,5059.0,228
628,5060,5061.0,203
629,5061,5060.0,228
630,5061,5062.0,203
631,5062,5061.0,228
632,5062,5063.0,190
633,5063,5062.0,215
634,5063,5064.0,190
635,5064,5048.0,353
636,5064,5049.0,150
637,5064,5063.0,228
638,5065,1707.0,249
639,5065,5066.0,192
640,5065,5073.0,57
641,5066,5065.0,192
642,5066,5409.0,192
643,5069,5070.0,192
644,5069,5409.0,173
645,5070,5069.0,192
646,5070,5071.0,78
647,5071,5070.0,78
648,5071,5072.0,78
649,5072,5071.0,78
650,5072,5073.0,78
651,5073,5046.0,122
652,5073,5049.0,150
653,5073,5052.0,150
654,5073,5065.0,57
655,5073,5072.0,78
656,5086,5046.0,57
657,5086,5087.0,57
658,5087,5086.0,57
659,5087,5088.0,57
660,5088,5087.0,57
