stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
948,,CASORATE SEMPIONE, ,45.674963,8.743964, ,0, 
407,,ALBUZZANO, ,45.172521,9.261689, ,0, 
5087,,CABIATE, ,45.675878,9.168405, ,0, 
3101,,VILLASANTA, ,45.60332,9.30505, ,0, 
2808,,TALAMONA, ,46.139922,9.600581, ,0, 
1550,,LECCO, ,45.856192,9.393426, ,0, 
858,,CANEGRATE, ,45.569344,8.926408, ,0, 
1690,,MELZO, ,45.502207,9.419392, ,0, 
5344,,COMO CAMERLATA (FNM), ,45.784554,9.079476, ,0, 
5058,,BOLLATE CENTRO, ,45.542741,9.122922, ,0, 
1634,,MANERBIO, ,45.356991,10.13249, ,0, 
2655,,SARTIRANA, ,45.111797,8.66994, ,0, 
2697,,SERIATE, ,45.683237,9.724617, ,0, 
3183,,BERGAMO OSPEDALE, ,45.688194,9.638444, ,0, 
1841,,MONZA, ,45.57817,9.272965, ,0, 
1037,,CAVA CARBONARA, ,45.144716,9.115112, ,0, 
5090,,AROSIO, ,45.718338,9.210148, ,0, 
5052,,SEVESO-BARUCCANA, ,45.639139,9.167013, ,0, 
636,,BESOZZO, ,45.842271,8.663288, ,0, 
926,,CASALBUTTANO, ,45.255431,9.962431, ,0, 
193,,ALESSANDRIA, ,44.908851,8.607509, ,0, 
2976,,VALLE LOMELLINA, ,45.150537,8.68583, ,0, 
2894,,TORRILE S.POLO, ,44.885794,10.362621, ,0, 
5321,,MOROSOLO-CASCIAGO, ,45.826583,8.777108, ,0, 
1715,,MILANO PORTA GARIBALDI, ,45.484462,9.187875, ,0, 
2981,,VALMADONNA, ,44.972738,8.610899, ,0, 
2564,,S.NICOLO, ,45.058930,9.606345, ,0, 
3595,,LEVATE, ,45.623868,9.627939, ,0, 
1808,,MONTELLO GORLAGO, ,45.670266,9.808626, ,0, 
5060,,GARBAGNATE PARCO GROANE, ,45.571089,9.090977, ,0, 
5262,,RESCALDINA, ,45.622296,8.946664, ,0, 
2919,,TREVIGLIO, ,45.515234,9.588608, ,0, 
1618,,MAGENTA, ,45.467998,8.880681, ,0, 
5059,,BOLLATE NORD, ,45.552694,9.112022, ,0, 
746,,BRONI, ,45.066163,9.258878, ,0, 
1919,,NOVATE-MEZZOLA, ,46.216651,9.44622, ,0, 
1940,,OLMENETA, ,45.231386,10.031853, ,0, 
5056,,MILANO QUARTO OGGIARO, ,45.519111,9.145729, ,0, 
5313,,TRADATE-ABBIATE-GUAZZONE, ,45.701879,8.91871, ,0, 
2763,,SORESINA, ,45.283161,9.856689, ,0, 
1039,,S.MARTINO CAVA, ,45.144775,9.115174, ,0, 
2982,,VALMADRERA, ,45.846499,9.368071, ,0, 
5098,,CANZO-ASSO, ,45.854957,9.269382, ,0, 
5310,,CISLAGO, ,45.660982,8.977496, ,0, 
1720,,MILANO ROGOREDO, ,45.433474,9.238708, ,0, 
1085,,CHIARI, ,45.539889,9.926475, ,0, 
2223,,PONTE S.PIETRO, ,45.698981,9.584512, ,0, 
1119,,CIVATE, ,45.831272,9.352756, ,0, 
2651,,SARMATO, ,45.062941,9.491163, ,0, 
634,,BESANA, ,45.702725,9.283168, ,0, 
5057,,NOVATE MILANESE, ,45.533067,9.132299, ,0, 
2611,,SAIRANO ZINASCO, ,45.133788,9.030231, ,0, 
1934,,OLCIO, ,45.938003,9.314002, ,0, 
883,,CAPRALBA, ,45.444050,9.640020, ,0, 
2520,,S.GIULIANO MILANESE, ,45.391458,9.28636, ,0, 
1089,,CHIAVENNA, ,46.319667,9.404874, ,0, 
5370,,BORNATO-CALINO, ,45.590413,10.032902, ,0, 
2906,,TRAVEDONA BIANDRONNO, ,45.80974,8.696135, ,0, 
406,,ALBONESE, ,45.29802,8.714591, ,0, 
5089,,CARUGO-GIUSSANO, ,45.705868,9.198866, ,0, 
799,,CALCIO, ,45.533326,9.843294, ,0, 
892,,CARAVAGGIO, ,45.49128,9.637899, ,0, 
1201,,CREMA, ,45.366693,9.694088, ,0, 
3025,,VERONA PORTA NUOVA, ,45.428926,10.982471, ,0, 
780,,CESANO BOSCONE, ,45.430872,9.091337, ,0, 
2112,,PIADENA, ,45.127612,10.370235, ,0, 
